Cluster,Assignment
1,Keratinocytes
2,Keratinocytes
3,Colonocytes
4,Colonocytes
5,Unknown
6,Keratinocytes
7,Neutrophils
8,Keratinocytes
9,Keratinocytes
10,Epithelium - calprotectin
11,Keratinocytes
12,Fibroblasts
13,Keratinocytes
14,Unknown
15,Keratinocytes
16,Keratinocytes
17,Endothelial cells
18,Keratinocytes
19,Colonocytes - Secretory
20,T cells
21,Macrophages/APCS
22,Muscle-like cells
23,Lymphatics
24,RBCs
25,Keratinocytes
26,Fibroblasts
27,Fibroblasts
28,Colonocytes - EEC
29,B cells
30,Endothelial cells
31,T cells
32,Keratinocytes
